GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
achat,tn.esprit.rh.achat.entities,CategorieProduit,43,3,0,0,6,1,9,1,9,1
achat,tn.esprit.rh.achat.entities,Operateur,53,3,0,0,7,1,11,1,11,1
achat,tn.esprit.rh.achat.entities,Facture,93,3,0,0,11,1,19,1,19,1
achat,tn.esprit.rh.achat.entities,CategorieFournisseur,0,24,0,0,0,2,0,1,0,1
achat,tn.esprit.rh.achat.entities,DetailFournisseur,63,3,0,0,8,1,13,1,13,1
achat,tn.esprit.rh.achat.entities,Produit,93,3,0,0,11,1,19,1,19,1
achat,tn.esprit.rh.achat.entities,Reglement,63,3,0,0,8,1,13,1,13,1
achat,tn.esprit.rh.achat.entities,SecteurActivite,43,3,0,0,6,1,9,1,9,1
achat,tn.esprit.rh.achat.entities,Stock,51,7,0,0,10,2,9,2,9,2
achat,tn.esprit.rh.achat.entities,Fournisseur,73,3,0,0,9,1,15,1,15,1
achat,tn.esprit.rh.achat.entities,DetailFacture,73,3,0,0,9,1,15,1,15,1
achat,tn.esprit.rh.achat.controllers,FactureRestController,46,0,0,0,14,0,8,0,8,0
achat,tn.esprit.rh.achat.controllers,ProduitRestController,37,0,0,0,11,0,7,0,7,0
achat,tn.esprit.rh.achat.controllers,CategorieProduitController,31,0,0,0,9,0,6,0,6,0
achat,tn.esprit.rh.achat.controllers,OperateurController,31,0,0,0,9,0,6,0,6,0
achat,tn.esprit.rh.achat.controllers,FournisseurRestController,37,0,0,0,11,0,7,0,7,0
achat,tn.esprit.rh.achat.controllers,SecteurActiviteController,31,0,0,0,9,0,6,0,6,0
achat,tn.esprit.rh.achat.controllers,ReglementRestController,35,0,0,0,10,0,6,0,6,0
achat,tn.esprit.rh.achat.controllers,StockRestController,31,0,0,0,9,0,6,0,6,0
achat,tn.esprit.rh.achat,AchatApplication,8,0,0,0,3,0,2,0,2,0
achat,tn.esprit.rh.achat.util,SpringFoxSwaggerConfig,80,0,0,0,22,0,6,0,6,0
achat,tn.esprit.rh.achat.services,OperateurServiceImpl,37,0,0,0,10,0,6,0,6,0
achat,tn.esprit.rh.achat.services,StockServiceImpl,98,76,3,1,16,20,4,6,2,6
achat,tn.esprit.rh.achat.services,SecteurActiviteServiceImpl,37,0,0,0,10,0,6,0,6,0
achat,tn.esprit.rh.achat.services,FactureServiceImpl,215,0,4,0,43,0,12,0,10,0
achat,tn.esprit.rh.achat.services,FournisseurServiceImpl,119,0,2,0,28,0,10,0,9,0
achat,tn.esprit.rh.achat.services,CategorieProduitServiceImpl,36,0,0,0,10,0,6,0,6,0
achat,tn.esprit.rh.achat.services,ReglementServiceImpl,38,0,0,0,9,0,6,0,6,0
achat,tn.esprit.rh.achat.services,ProduitServiceImpl,73,24,1,1,13,7,5,4,4,4
